GRAPH,CAPACITY,EXTRA,GREEDY,SLS_GREEDY,ANNEALING,OPTIMUM
misc/instances/grafo_8.dot,25,3,64,64,64,64
misc/instances/grafo_8.dot,50,3,128,128,128,128
misc/instances/grafo_8.dot,75,3,189,190,184,192
misc/instances/grafo_8.dot,100,3,207,220,227,256
misc/instances/grafo_8.dot,25,4,64,64,64,64
misc/instances/grafo_8.dot,50,4,128,128,128,128
misc/instances/grafo_8.dot,75,4,189,190,184,192
misc/instances/grafo_8.dot,100,4,207,220,231,256
misc/instances/grafo_9.dot,25,0,64,64,64,64
misc/instances/grafo_9.dot,50,0,128,128,128,128
misc/instances/grafo_9.dot,75,0,191,191,192,192
misc/instances/grafo_9.dot,100,0,208,220,222,256
misc/instances/grafo_9.dot,25,1,64,64,64,64
misc/instances/grafo_9.dot,50,1,128,128,128,128
misc/instances/grafo_9.dot,75,1,191,191,186,192
misc/instances/grafo_9.dot,100,1,208,220,232,256
misc/instances/grafo_9.dot,25,2,64,64,64,64
misc/instances/grafo_9.dot,50,2,128,128,128,128
misc/instances/grafo_9.dot,75,2,191,191,186,192
misc/instances/grafo_9.dot,100,2,208,220,226,256
misc/instances/grafo_9.dot,25,3,64,64,64,64
misc/instances/grafo_9.dot,50,3,128,128,128,128
misc/instances/grafo_9.dot,75,3,191,191,184,192
misc/instances/grafo_9.dot,100,3,208,220,212,256
misc/instances/grafo_9.dot,25,4,64,64,64,64
misc/instances/grafo_9.dot,50,4,128,128,128,128
misc/instances/grafo_9.dot,75,4,191,191,188,192
misc/instances/grafo_9.dot,100,4,208,220,226,256
